YES ARE POWER TOOLS  2026-2027 BCODE(est),,,
Stock Report,,,
Report Period : 19-Apr-2026 11:59:59 PM,,,
No,Item Code,Item Name,Quantity
356,1508,WATER SEAL  CW 14-22,3
357,1511.,PLUNGER ROD 1511,6
358,1511.,PLUNGER ROD 1511,24
359,15118,TOLSEN RATCHET SPANNER 1/4 ,4
360,1512.,SPRING PLUNGER  1512,6
361,1512.,SPRING PLUNGER  1512,23
362,15120,REVERSIBLE RATCHET SPANNER 1/2,-1.000
363,1516,SWITCH  CARWASH,18
364,1519,SWITCH,116
365,152,JIGSAW BLADE MAC BULLET,-75.000
366,1520,CARWASHERV SWITCH ,2
367,1522,FAN COVER,1
368,1528,OVERLOAD SWITCH 10A 1528,12
369,15282,UNIVERSAL WRENCH 2 PCS SET  9,2
370,15309,ADJ. SPANNER  15309 TOLSEN,1
371,15309,ADJ. SPANNER  15309 TOLSEN,-2.000
372,15310,TOLSEN ADJ. SPANNER 15310 ,-1.000
373,15311,ADJ .SPANNER 15311 TOLSEN ,1
374,1532890,1532890   CHANGE LEVER  HR2020,2
375,1534,WATER SEAL ,3
376,15390,TOLSEN RATCHET SET 13 PCS 1/4 INCH 15390,5
377,154,PANNER BLADE 82MM POWEREX,2
378,1541,THRUST BEARING -51106 1541,12
379,1544,QRC CARWASHER 1/4,5
380,1554.,THRUST BEARING -51107 S2 1554,12
381,1555.,ADPATER M3/8XF22,59
382,1556,ADAPTER M22*F22,22
383,1557,ADAPTER M22XF3/8,38
384,1559.,ADPATOR M22*M22,5
385,156,PATTA HEAD SCREA 3/4 INCH ,9946
386,156,PATTA HEAD SCREA 3/4 INCH ,-466.000
387,156,PATTA HEAD SCREA 3/4 INCH ,-1169.000
388,156/1,SELF DRILLING  SCREW 8*25 TRUSS HEAD ,5540
389,156/1,SELF DRILLING  SCREW 8*25 TRUSS HEAD ,-2723.000
390,156/1,SELF DRILLING  SCREW 8*25 TRUSS HEAD ,-961.000
391,156/1,SELF DRILLING  SCREW 8*25 TRUSS HEAD ,-458.000
392,156/1,SELF DRILLING  SCREW 8*25 TRUSS HEAD ,-502.000
393,156/1 1/2, SELF HEAD SCREW 11/2 MODIHEAD,8034
394,156/1/2,SELF SCREW 1/2 MODI HEAD ,9262
395,156/1/2,SELF SCREW 1/2 MODI HEAD ,4850
396,156/2, SELF HEAD SCREW 2 INCH  MODI HEAD ,8837
397,1562.,PLUNCHER ROD 56*10 S3,6
398,158,CUP BRUSH TWISTED,-5.000
399,158/1,"5""CUPBRUSH",57
400,15886,TOLSEN SPANNER SET 5 PCS 8-19 15886,2
401,15887,TOLSEN SPANNER SET 8 PCS 8 TO 18,2
402,158X,TWISTED WIRE BRUSH  OMEGA,44
403,15MSS,SHOVEL MEDIUM SMALL SHOVEL ,1
404,15WP,15W LED LAMP ORSAM/LUMENEX,12
405,162,PATTA DRY WALL 1 1/4(32*6),391
406,1622459,CHANGE LEVER 162245-9,1
407,16290,16290 6A MULTY PLUG KOMEX ,10
408,165,HSS DRILL BIT 2MM,7
409,1653234,BASE MT410 165323,2
410,1653234,BASE MT410 165323,1
411,166/1,LEVEL HOSE 6MM,-61.000
412,167/1,DRILL BIT 4MM IMP,24
413,1671,LENZ,1
414,16ISSS,SHOVEL SQUARE  STEEL HANDLE ,1
415,1718,SOLDER WIRE 15G,26
416,17211,TUBE  T/SET LED 20W LEDVANCE ,55
417,17211,TUBE  T/SET LED 20W LEDVANCE ,18
418,17211,TUBE  T/SET LED 20W LEDVANCE ,8
419,17226,17226 LED LAMP 40W ,1
420,17228,17228 LED TUBE 24W ,8
421,17233,17233 3W SLEEK JB LED ,27
422,17276,17276 LED TUBE 36W OSRAM,15
423,17276,17276 LED TUBE 36W OSRAM,14
424,17276,17276 LED TUBE 36W OSRAM,1
425,173,CHAINSAW FILE 4 MM,11
426,17ISRS,SHOVEL ROUND STEEL HANDLE ,1
427,1808,MIG SWAN NECK ,2
428,1817,MIG TIP HOLDER 15AK,16
429,1818,MIG TIP M6*25*0.8+MM,45
430,18212,TOLSEN IMPACT SOCKET 1/2 INCH 12MM,4
431,18216,TOLSEN IMPACT WRENCH 1/2 INCH 16MM,4
432,18218.,TOLSEN IMPACT SOCKET 1/2 INCH 18MM,4
433,18220.,TOLSEN IMPACT SOCKET 1/2 INCH 20MM,4
434,18222,TOLSEN IMPACT SOCKET 1/2 INCH 22 MM,4
435,1861,MIG NOZZLE 15AK,20
436,1871,NITROGEN REGULATOR,2
437,1872,ARGON  REGULATOR ,3
438,18PDS,18INCH PED. SWITCH ,4
439,18WP,17218 LED LAMP 18W OSRAM,7
440,1906,SWITCH ,2
441,1911,TIG TORCH SWITCH ,16
442,1916,TIG TORCH 26V 4M PREMIUM ,-3.000
443,1923,TIG TORCH CAP ,4
444,1932.,CERAMIC NOZZLE NO -5 T42,19
445,1938,COLLET TIG TORCH 2.4MM,55
446,1952,FLOW METER,2
447,1952,FLOW METER,1
448,1954,GAS OXYGEN REGULATER  1954,5
449,1955,ARGON REGULATOR WITH FLOW METER,2
450,19567,PREETHI MIXER GRINDER CROWN 500W 3 JAR ,1
451,1972.,ANTI SPATTER TIP SPRAY ,4
452,1973,CYLINDER KEY OXYGEN 1973,9
453,1974,SPANNER CO2,10
454,1974,SPANNER CO2,3
455,1982,TUNGSTEN ROD 2.4MM ,-27.000
456,199,Tile master,19
457,1990,MRS CONNECTOR SET -2PIN,7
458,1991,MRS CONNECTER SET -3PIN,1
459,1992,MRS CONNECTER SET -4PIN ,2
460,1BSS,BIG SQUARE SHOVEL ,34
461,1FV,"FOOT VALVE 1""",17
462,1HP/100PUMP,1HP PUMP100,1
463,1HPPB,1HP PANEL  BOARD,4
464,1LB,HAMMER 1LB TATA,12
465,1X03,CORDLESS DRILL DRIVER IXO3,1
466,2 CORE WIRE,2 CORE WIRE,3
467,2.5LB,SLEDGE HAMMER 2.5 LB,-1.000
468,2+2/5,POWER CABLE ,1
469,2+2/5,POWER CABLE ,4
470,2+2/5C,2+2 5MTR CODE ,1
471,20,5' TILE CUTTER(FAST CUT),4
472,20/242 PARELLEL WIRE ,20/242 PARELLEL WIRE ,16
473,200,CLIF NONMOVEN FINISH WHEEL,4
474,20001,TROLLY WHEEL2IN.37.5*23.5 P.NYLON INSERTWITH BLACK RUBBER LOCK ,29
475,20002,TROLLY WHEEL 2IN.37.5*23.5 NYLON INSERT WITH BLACK RUBBER,17
476,20002/T,TOLSEN SCREW DRIVER 100MM SLOTTED ,6
477,20004,TOLSEN SCREW DRIVER 150MM SLOTTED,6
478,20007,TOLSEN SCREW DRIVER 100MM PH1,17
479,20008,TOLSEN SCREW DRIVER 150MM PH2,23
480,2001.,ADAPTOR BSP1/4*1/4,61
481,20014,GREASE 100,-4.000
482,2002,ADAPTOR BSP3/8*3/8,5
483,2003,ADAPTOR BSP1/2*1/2,10
484,20035,TOLSEN RATCHET DRILL AND SOCKET SET 38 PCS ,2
485,20037,20037 P/HOLDER  SKERT ESSENZ,4
486,20042 , TOLSEN 2 IN 1 SCREW DRIVER SET ,28
487,20043, TOLSEN 6 IN 1 SCREW DRIVER ,4
488,20050,20050 CUB 6A 3PIN TOP GOLDMEDEL ,1
489,20051,TOLSEN 10PCS  HEX ALLENKEY SET 20051,7
490,20053,TOLSEN ALLENKEY SET 9 PCS 20053 ,10
491,20053,TOLSEN ALLENKEY SET 9 PCS 20053 ,-3.000
492,20056,TOLSEN ALLENKEY SET STAR TYPE 20056,-2.000
493,20056,TOLSEN ALLENKEY SET STAR TYPE 20056,11
494,20057,TOLSEN  ALLENKEY SET LONG 9PCS 20057 ,6
495,20090,TOLSEN 13 PCS BALL POINT LONG HEX KEY ,2
496,20094,TOLSEN INCH AND METRIC HEX KEY SET 36 PCS 20094,2
497,20094,TOLSEN INCH AND METRIC HEX KEY SET 36 PCS 20094,1
498,20097,TROLLY WHEEL 2 IN.37.5*23.5 PLATE 60*60 BLACK NO DUST COVER ,32
499,20097,TROLLY WHEEL 2 IN.37.5*23.5 PLATE 60*60 BLACK NO DUST COVER ,26
500,20098,TROLLY WHEEL 2IN.37.5*23.5 BLACK NO DUST,23
501,20098,TROLLY WHEEL 2IN.37.5*23.5 BLACK NO DUST,19
502,201/1,VICE GRIP PLIER TOOL WORTH ,-1.000
503,20115,TOLSEN SCREW DRIVER PH 2*150 20115,12
